position,level,stem,A,B,C,D,answer
1,D,The manager decided ______ the meeting.,to cancel,canceled,canceling,cancel,A
2,D,Please avoid ______ during the presentation.,talked,to talk,talking,talk,C
3,D,All employees must ______ the safety rules.,follow,following,followed,to follow,A
4,D,I would like ______ a table for two.,reserve,reserved,to reserve,reserving,C
5,D,Thank you for ______ the report on time.,to submit,submitted,submitting,submit,C
6,D,They agreed ______ the proposal.,to approve,approving,approved,approve,A
7,D,He finished ______ the report.,wrote,write,to write,writing,D
8,D,The boss made the team ______ late.,staying,stayed,to stay,stay,D
9,D,You should ______ the instructions first.,reads,reading,read,to read,C
10,D,She refused ______ the document.,sign,to sign,signing,signed,B
11,D,They are interested in ______ for our company.,to work,worked,work,working,D
12,D,Would you mind ______ the window?,to open,open,opening,opened,C
13,D,Would you like ______ something to drink?,have,having,had,to have,D
14,D,Visitors may ______ the museum for free.,entered,to enter,enter,entering,C
15,D,We planned ______ a new branch.,open,opening,opened,to open,D
16,D,The company postponed ______ the event.,hold,holding,to hold,held,B
17,D,Let me ______ you with your bags.,helped,helping,help,to help,C
18,D,He left the office without ______ anyone.,telling,to tell,told,tell,A
19,D,______ a foreign language takes time.,Learned,Learn,Learning,Learns,C
20,D,She managed ______ the problem alone.,solved,to solve,solve,solving,B
21,TB,We must carefully ______ the contract.,to review,reviewing,reviewed,review,D
22,TB,I will have the technician ______ the printer.,fix,fixing,fixed,to fix,A
23,TB,I heard the director ______ at the meeting.,spoken,to speak,spoke,speak,D
24,TB,It is important ______ the deadline.,met,to meet,meet,meeting,B
25,TB,The board considered ______ the policy.,to change,changing,changed,change,B
26,TB,The plan failed ______ enough revenue.,to generate,generate,generating,generated,A
27,TB,"Before ______ the contract, read all terms.",sign,signing,signed,to sign,B
28,TB,He arrived early in order ______ the room.,prepared,preparing,to prepare,prepare,C
29,TB,I will have the report ______ by noon.,finished,to finish,finishing,finish,A
30,TB,This software helps users ______ time.,save,saving,saves,saved,A
